Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,Run,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,CueSTART,OfflineRatingTimePoint,OfflineRatingQuesIndex,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,CueStart,OfflineRatingStart,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,ChoiceTimeOut,ChoiceSTART,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,AnswerTimeOut,CheckSTART,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,QuesStart,PID,SONA,Age,Gender,Run,TIME,EXPERIMENTER,frameRate,
1,.\instructions\inst_begin\Slide1.png,right,3.0238568000495434,0.1329723997041583,3.1568291997537017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,26,Female,1,2024/05/10_10:20:29,YZ,59.937341430857714,
2,.\instructions\inst_begin\Slide2.png,right,2.8458012002520263,3.1896874997764826,6.035488700028509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,26,Female,1,2024/05/10_10:20:29,YZ,59.937341430857714,
3,.\instructions\inst_begin\Slide3.png,right,0.59208619967103,6.067386100068688,6.659472299739718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,26,Female,1,2024/05/10_10:20:29,YZ,59.937341430857714,
1,.\instructions\inst_prac_2\Slide1.png,right,0.5796189997345209,6.703833300154656,7.283452299889177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,26,Female,1,2024/05/10_10:20:29,YZ,59.937341430857714,
2,.\instructions\inst_prac_2\Slide2.png,right,0.4717020997777581,7.31577660003677,7.787478699814528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,26,Female,1,2024/05/10_10:20:29,YZ,59.937341430857714,
3,.\instructions\inst_prac_2\Slide3.png,right,0.4490789002738893,7.818370199762285,8.267449100036174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,26,Female,1,2024/05/10_10:20:29,YZ,59.937341430857714,
4,.\instructions\inst_prac_2\Slide4.png,right,0.5213393997400999,8.298114500008523,8.819453899748623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,26,Female,1,2024/05/10_10:20:29,YZ,59.937341430857714,
5,.\instructions\inst_prac_2\Slide5.png,right,0.5118852998130023,8.851557800080627,9.36344309989363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,26,Female,1,2024/05/10_10:20:29,YZ,59.937341430857714,
6,.\instructions\inst_prac_2\Slide6.png,right,0.3213411998003721,9.394138100091368,9.71547929989174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,26,Female,1,2024/05/10_10:20:29,YZ,59.937341430857714,
7,.\instructions\inst_prac_2\Slide7.png,right,0.40038139978423715,9.747078000102192,10.14745939988643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,26,Female,1,2024/05/10_10:20:29,YZ,59.937341430857714,
