Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,Run,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OnlineRating,OnlineRatingRT,OnlineRatingTimeOut,CueSTART,RatingSTART,OfflineRatingTimePoint,OfflineRatingQuesIndex,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,CueStart,OfflineRatingStart,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,ChoiceTimeOut,ChoiceSTART,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,AnswerTimeOut,CheckSTART,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,QuesStart,PID,SONA,Age,Gender,Run,TIME,EXPERIMENTER,frameRate
-1,./instructions/inst_begin/Slide2.png,left,46.7555556,0.359135408,47.11469101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
0,./instructions/inst_begin/Slide4.png,right,8.713206476,47.16141246,55.87461894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
1,./instructions/inst_begin/Slide2.png,right,6.056524303,55.90564236,61.96216666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
2,./instructions/inst_begin/Slide3.png,right,13.8796929,62.01867243,75.89836534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
3,./instructions/inst_begin/Slide4.png,right,4.76370582,75.93463387,80.69833969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
1,./instructions/inst_prac_2/Slide6.png,right,12.81377964,80.75669576,93.5704754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
2,./instructions/inst_prac_2/Slide7.png,right,14.80538659,93.62095385,108.4263404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
3,./instructions/inst_prac_2/Slide8.png,right,18.28066732,108.5213737,126.802041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
2,./instructions/inst_prac_2/Slide9.png,left,25.1856336,126.8407484,152.026382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
1,./instructions/inst_prac_2/Slide8.png,left,2.575429306,152.0587751,154.6342045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
0,./instructions/inst_prac_2/Slide7.png,left,1.956870223,154.6696699,156.6265401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
1,./instructions/inst_prac_2/Slide6.png,right,3.294437199,156.66008,159.9545172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,150820,20,Female,1,2024/02/08_11:39:22,YZ,59.92932523
