Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,Run,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OnlineRating,OnlineRatingRT,OnlineRatingTimeOut,CueSTART,RatingSTART,OfflineRatingTimePoint,OfflineRatingQuesIndex,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,CueStart,OfflineRatingStart,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,ChoiceTimeOut,ChoiceSTART,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,AnswerTimeOut,CheckSTART,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,QuesStart,PID,SONA,Age,Gender,Run,TIME,EXPERIMENTER,frameRate,
1,./instructions/inst_begin/Slide2.png,right,27.1716448909865,0.27387944801012054,27.44552433899662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,153511,21,Male,1,2024/02/26_08:55:35,YZ,None,
2,./instructions/inst_begin/Slide3.png,right,8.11015551899618,27.495230711007025,35.605386230003205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,153511,21,Male,1,2024/02/26_08:55:35,YZ,None,
3,./instructions/inst_begin/Slide4.png,right,5.509167520998744,35.64015811300487,41.14932563400362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,153511,21,Male,1,2024/02/26_08:55:35,YZ,None,
1,./instructions/inst_prac_2/Slide6.png,right,12.622295731009217,41.206957506001345,53.82925323701056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,153511,21,Male,1,2024/02/26_08:55:35,YZ,None,
2,./instructions/inst_prac_2/Slide7.png,right,9.508528628997738,53.864781615004176,63.373310244001914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,153511,21,Male,1,2024/02/26_08:55:35,YZ,None,
3,./instructions/inst_prac_2/Slide8.png,right,10.415812434992404,63.405658850009786,73.82147128500219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,153511,21,Male,1,2024/02/26_08:55:35,YZ,None,
4,./instructions/inst_prac_2/Slide9.png,right,10.149873301008483,73.86346165899886,84.01333496000734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,153511,21,Male,1,2024/02/26_08:55:35,YZ,None,
5,./instructions/inst_prac_2/Slide10.png,right,3.336229507011012,84.0851742119994,87.42140371901041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,153511,21,Male,1,2024/02/26_08:55:35,YZ,None,
6,./instructions/inst_prac_2/Slide11.png,right,1.9014549819985405,87.45583245799935,89.35728743999789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,153511,21,Male,1,2024/02/26_08:55:35,YZ,None,
7,./instructions/inst_prac_2/Slide12.png,right,2.454706445001648,89.39069730200572,91.84540374700737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,153511,21,Male,1,2024/02/26_08:55:35,YZ,None,
