"","PID","SONA","Gender","Age","Run","Phase","Block","TrialN","NbackLevel","ISI","TrialCountCali","CaliEnd_A_measure","TrialIndex","TrialNumber_total","TrialNumber_valid","Trial_A_measure","Trial_HR","Trial_FAR","Trial_CDR","Trial_MSR","Trial_ACC","Trial_RT","Letter_Resp","Letter_RT","Letter_Accuracy","Trial_HitsCount","Trial_FAsCount","Trial_NoRespCount","Trial_SameNoRespCount","Trial_DiffNoRespCount","Trial_CDsCount","Trial_CorrectRespCount","Trial_SameLetterCount","Trial_DiffLetterCount","Trial_InvalidLetterCount","CueLearning","CueMapping","TrialDemandLearning","OnlineRating","OnlineRatingRT","OnlineRatingTimeOut","CueLeft","CueDemandLeft","CueRight","CueDemandRight","PhaseType","Choice","ChoiceRT","ChoiceDemand","TaskDemand","OfflineRatingTimePoint","CueFigure","TrialDemand","OfflineRating","OfflineRatingRT","DemandRatingQuesIndex","QuesTLX","DemandLevel","DemandRating","DemandRatingRT","CueCheck","CueDemandCheck","CorrectAnswer","Answer","AnswerDemand","AnswerRT","AnswerACC","END","TrialDemandLearning_pre","TrialTransition","TrialTransition_pre","Trial_RT_pre","Trial_ACC_pre","Trial_A_measure_pre","TaskDemand_pre"
"1",90,140914,"Female",21,1,"TEST",1,1,1,120,,,1,2,1,0.916666666666667,0.666666666666667,0,1,0,1,0.446226247045991,"",,,4,0,0,0,0,17,21,6,17,0,"cue2.png","B","easy",51,1.99010784502025,0,"","","","","","",,"","","","","",,,,"",,,,"","","","","",,,"240314_143843",,,,,,,
"2",90,140914,"Female",21,1,"TEST",1,2,3,120,,,2,3,2,0.786764705882353,0.5,0.117647058823529,0.882352941176471,0,0.882352941176471,0.518353965386505,"",,,3,2,0,0,0,15,18,6,17,0,"cue1.png","B","hard",52,1.75278734200401,0,"","","","","","",,"","","","","",,,,"",,,,"","","","","",,,"240314_143918","easy","switch",,0.446226247045991,1,0.916666666666667,
"3",90,140914,"Female",21,1,"TEST",1,3,3,120,,,3,4,3,0.875,0.5,0,1,0.130434782608696,0.869565217391304,0.497081704248558,"",,,3,0,3,1,2,15,18,6,17,0,"cue1.png","B","hard",48,1.9057777459966,0,"","","","","","",,"","","","","",,,,"",,,,"","","","","",,,"240314_143954","hard","repetition","switch",0.518353965386505,0.882352941176471,0.786764705882353,
"4",90,140914,"Female",21,1,"TEST",1,4,3,120,,,4,5,4,0.830882352941177,0.5,0.0588235294117647,0.941176470588235,0,0.941176470588235,0.610244616916727,"",,,3,1,0,0,0,16,19,6,17,0,"cue1.png","B","hard",33,1.26889569300693,0,"","","","","","",,"","","","","",,,,"",,,,"","","","","",,,"240314_144031","hard","repetition","repetition",0.497081704248558,0.869565217391304,0.875,
"5",90,140914,"Female",21,1,"TEST",1,5,1,120,,,5,6,5,1,1,0,1,0,1,0.445804710087427,"",,,7,0,0,0,0,16,23,7,16,0,"cue2.png","B","easy",47,1.45377810997888,0,"","","","","","",,"","","","","",,,,"",,,,"","","","","",,,"240314_144104","hard","switch","repetition",0.610244616916727,0.941176470588235,0.830882352941177,
"6",90,140914,"Female",21,1,"TEST",1,6,3,120,,,6,7,6,0.0483630952380952,0.142857142857143,0.1875,0.785714285714286,0.0869565217391304,0.72554347826087,0.580348724428664,"",,,1,3,2,0,2,11,12,7,16,0,"cue1.png","B","hard",55,1.2284847489791,0,"","","","","","",,"","","","","",,,,"",,,,"","","","","",,,"240314_144141","easy","switch","switch",0.445804710087427,1,1,
"7",90,140914,"Female",21,1,"TEST",1,7,3,120,,,7,8,7,0.0114379084967321,0.166666666666667,0.176470588235294,0.823529411764706,0,0.823529411764706,0.432629973347977,"",,,1,3,0,0,0,14,15,6,17,0,"cue1.png","B","hard",46,1.28049288000329,0,"","","","","","",,"","","","","",,,,"",,,,"","","","","",,,"240314_144213","hard","repetition","switch",0.580348724428664,0.72554347826087,0.0483630952380952,
"8",90,140914,"Female",21,1,"TEST",1,8,1,120,,,8,9,8,1,1,0,1,0.0434782608695652,0.956521739130435,0.402341860183779,"",,,6,0,1,0,1,16,22,6,17,0,"cue2.png","B","easy",38,1.4113017799973,0,"","","","","","",,"","","","","",,,,"",,,,"","","","","",,,"240314_144245","hard","switch","repetition",0.432629973347977,0.823529411764706,0.0114379084967321,
"9",90,140914,"Female",21,1,"TEST",1,9,1,120,,,9,10,9,1,1,0,1,0,1,0.434378271258143,"",,,6,0,0,0,0,17,23,6,17,0,"cue2.png","B","easy",54,1.41368921400863,0,"","","","","","",,"","","","","",,,,"",,,,"","","","","",,,"240314_144318","easy","repetition","switch",0.402341860183779,0.956521739130435,1,
"10",90,140914,"Female",21,1,"TEST",1,10,3,120,,,10,11,10,0.909313725490196,0.833333333333333,0.117647058823529,0.882352941176471,0,0.882352941176471,0.529579836347535,"",,,5,2,0,0,0,15,20,6,17,0,"cue1.png","B","hard",55,1.60411325798486,0,"","","","","","",,"","","","","",,,,"",,,,"","","","","",,,"240314_144353","easy","switch","repetition",0.434378271258143,1,1,
