Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,Run,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OnlineRating,OnlineRatingRT,OnlineRatingTimeOut,CueSTART,RatingSTART,OfflineRatingTimePoint,OfflineRatingQuesIndex,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,CueStart,OfflineRatingStart,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,ChoiceTimeOut,ChoiceSTART,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,AnswerTimeOut,CheckSTART,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,QuesStart,PID,SONA,Age,Gender,Run,TIME,EXPERIMENTER,frameRate
1,./instructions/inst_begin/Slide2.png,right,15.36059057,2.389845831,17.75043641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,152122,21,Female,1,2024/02/14_09:23:01,SD,60.08727182
2,./instructions/inst_begin/Slide3.png,right,9.120115504,17.80639539,26.9265109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,152122,21,Female,1,2024/02/14_09:23:01,SD,60.08727182
3,./instructions/inst_begin/Slide4.png,right,12.94553635,27.00491018,39.95044654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,152122,21,Female,1,2024/02/14_09:23:01,SD,60.08727182
1,./instructions/inst_prac_2/Slide6.png,right,16.06164889,40.07252781,56.1341767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,152122,21,Female,1,2024/02/14_09:23:01,SD,60.08727182
2,./instructions/inst_prac_2/Slide7.png,right,20.17885906,56.21135045,76.39020951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,152122,21,Female,1,2024/02/14_09:23:01,SD,60.08727182
3,./instructions/inst_prac_2/Slide8.png,right,10.79068136,76.4639747,87.25465606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,152122,21,Female,1,2024/02/14_09:23:01,SD,60.08727182
4,./instructions/inst_prac_2/Slide9.png,right,4.823273915,87.35090448,92.17417839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,152122,21,Female,1,2024/02/14_09:23:01,SD,60.08727182
5,./instructions/inst_prac_2/Slide10.png,right,3.539749875,92.22665867,95.76640855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,152122,21,Female,1,2024/02/14_09:23:01,SD,60.08727182
6,./instructions/inst_prac_2/Slide11.png,right,2.586750527,95.82776831,98.41451883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,152122,21,Female,1,2024/02/14_09:23:01,SD,60.08727182
7,./instructions/inst_prac_2/Slide12.png,right,3.610445176,98.4917467,102.1021919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,152122,21,Female,1,2024/02/14_09:23:01,SD,60.08727182
