Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,PID,SONA,Age,Gender,Run,TIME,EXPERIMENTER,frameRate,
1,./instructions/inst_begin/Slide2.png,right,97.54755342600038,0.10886301800201181,97.65641644400239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
2,./instructions/inst_begin/Slide3.png,right,18.20339932800198,97.68506620900007,115.88846553700205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
3,./instructions/inst_begin/Slide4.png,right,7.52468927299924,115.91586672700214,123.44055600000138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
1,./instructions/inst_prac_2/Slide6.png,right,23.633317568001075,123.47116530900166,147.10448287700274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
2,./instructions/inst_prac_2/Slide7.png,right,16.594888471998274,147.1337020630017,163.72859053499997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
3,./instructions/inst_prac_2/Slide8.png,right,10.64279264400102,163.75769667400164,174.40048931800266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
4,./instructions/inst_prac_2/Slide9.png,right,3.358095487998071,174.4262825870028,177.78437807500086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
5,./instructions/inst_prac_2/Slide10.png,right,1.405935151000449,177.81050948600023,179.21644463700068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
6,./instructions/inst_prac_2/Slide11.png,right,0.8680861579996417,179.244320050002,180.11240620800163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
7,./instructions/inst_prac_2/Slide12.png,right,1.0594583160018374,180.14094604300044,181.20040435900228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
8,./instructions/inst_prac_2/Slide13.png,right,1.665149566000764,181.2233101310012,182.88845969700196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
9,./instructions/inst_prac_2/Slide14.png,right,15.97386200800247,182.91458673099987,198.88844873900234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
10,./instructions/inst_prac_2/Slide15.png,right,38.27463169699695,198.91773939900304,237.192371096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
,,,,,,practice,0,24,2,2583,1,N,0,right,4.858085913998366,1,0,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
,,,,,,practice,0,24,2,2583,2,J,0,right,1.8417630339972675,1,0,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
,,,,,,practice,0,24,2,2583,3,N,1,left,1.234215080003196,1,0,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
,,,,,,practice,0,24,2,2583,4,Q,0,right,1.2404594639992865,1,0,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
,,,,,,practice,0,24,2,2583,5,V,0,right,3.4537620070004778,1,0,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
,,,,,,practice,0,24,2,2583,6,Q,1,left,1.417217565998726,1,0,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
,,,,,,practice,0,24,2,2583,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,2.3409171774995534,2,0,0,0,0,4,6,2,4,0,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
1,./instructions/inst_to_cali/Slide20.png,right,5.397241482001846,257.5793305170009,262.9765719990028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,156442,19,Female,1,2024/02/15_16:27:09,JV,None,
