Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,PID,SONA,Age,Gender,Run,TIME,EXPERIMENTER,frameRate
1,./instructions/inst_begin/Slide2.png,right,10.35536877,2.223682059,12.57905083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
2,./instructions/inst_begin/Slide3.png,right,19.9409779,12.64623424,32.58721214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
3,./instructions/inst_begin/Slide4.png,right,14.82127509,32.69405795,47.51533304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
1,./instructions/inst_prac_2/Slide6.png,right,29.35771769,47.64561319,77.00333088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
2,./instructions/inst_prac_2/Slide7.png,right,19.08577447,77.09351688,96.17929134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
3,./instructions/inst_prac_2/Slide8.png,right,25.6377409,96.27745043,121.9151913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
4,./instructions/inst_prac_2/Slide9.png,right,14.76114388,121.9783161,136.73946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
5,./instructions/inst_prac_2/Slide10.png,right,3.727233811,136.8039125,140.5311463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
6,./instructions/inst_prac_2/Slide11.png,right,2.184454142,140.5868911,142.7713452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
7,./instructions/inst_prac_2/Slide12.png,right,1.438247444,142.8289433,144.2671907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
8,./instructions/inst_prac_2/Slide13.png,right,1.108423837,144.6066926,145.7151165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
9,./instructions/inst_prac_2/Slide14.png,right,13.73604253,145.7632569,159.4992994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
10,./instructions/inst_prac_2/Slide15.png,right,20.61715906,159.5859593,180.2031184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,practice,0,27,2,2583,1,C,0,right,2.43215326,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,practice,0,27,2,2583,2,X,0,right,1.22511159,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,practice,0,27,2,2583,3,C,1,left,0.780313712,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,practice,0,27,2,2583,4,F,0,right,0.812946746,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,practice,0,27,2,2583,5,Q,0,right,0.859261805,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,practice,0,27,2,2583,6,F,1,left,0.747845155,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,practice,0,27,2,2583,,,,,,,,1,1,0,1,0,1,1.142938711,2,0,0,0,0,4,6,2,4,0,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
1,./instructions/inst_to_cali/Slide20.png,right,6.623405812,193.6601628,200.2835686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
1,./instructions/inst_cali/Slide22.png,right,25.06402018,200.3871437,225.4511639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,583,1,C,0,right,0.928310572,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,583,2,F,0,right,0.694822603,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,583,3,V,0,right,0.445801784,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,583,4,N,0,right,0.51745576,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
,,,,,,calibration,0,19,2,583,5,Q,0,right,0.473261948,1,0,,,,,,,,,,,,,,,,,,,,,57,158257,21,Female,1,2024/02/14_14:33:36,YZ,60.14239229
