subj_idx,ChoiceRT,ChoiceDemand,TaskDemand,trial,DemandAversive_on,DemandAversive_off_T1,DemandAversive_off_T2,DemandAversive_off_T3,DemandAvoidance_true,response,rt,split_by,feedback,q_init
40,0.016549961,easy,mid,1,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.016549961,0,0.5,0.5
40,0.017135813,hard,mid,2,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017135813,0,0.5,0.5
40,0.016105594,easy,mid,3,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.016105594,0,0.5,0.5
40,0.015543748,hard,mid,4,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.015543748,0,0.5,0.5
40,0.016075635,hard,mid,5,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016075635,0,0.5,0.5
40,0.018364395,easy,mid,6,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.018364395,0,0.5,0.5
40,0.017815836,easy,mid,7,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.017815836,0,0.5,0.5
40,0.017348902,hard,mid,8,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017348902,0,0.5,0.5
40,0.017883712,hard,mid,9,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017883712,0,0.5,0.5
40,0.01562979,easy,mid,10,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.01562979,0,0.5,0.5
40,0.015457799,hard,mid,11,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.015457799,0,0.5,0.5
40,0.016870091,easy,mid,12,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.016870091,0,0.5,0.5
40,0.016957893,hard,mid,13,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016957893,0,0.5,0.5
40,0.016134831,easy,mid,14,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.016134831,0,0.5,0.5
40,0.017496859,hard,mid,15,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017496859,0,0.5,0.5
40,0.016020022,hard,mid,16,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016020022,0,0.5,0.5
40,0.017367216,easy,mid,17,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.017367216,0,0.5,0.5
40,0.016445387,easy,mid,18,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.016445387,0,0.5,0.5
40,0.017799786,hard,mid,19,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017799786,0,0.5,0.5
40,0.018038615,hard,mid,20,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.018038615,0,0.5,0.5
40,0.017763973,hard,mid,21,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017763973,0,0.5,0.5
40,0.015944959,hard,mid,22,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.015944959,0,0.5,0.5
40,0.01680001,hard,mid,23,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.01680001,0,0.5,0.5
40,0.016062737,easy,mid,24,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.016062737,0,0.5,0.5
40,0.016934861,hard,mid,25,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016934861,0,0.5,0.5
40,0.016629748,hard,mid,26,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016629748,0,0.5,0.5
40,0.01561407,hard,mid,27,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.01561407,0,0.5,0.5
40,0.017904457,easy,mid,28,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.017904457,0,0.5,0.5
40,0.018214894,hard,mid,29,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.018214894,0,0.5,0.5
40,0.015048601,hard,mid,30,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.015048601,0,0.5,0.5
40,0.01620281,hard,mid,31,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.01620281,0,0.5,0.5
40,0.017996753,hard,mid,32,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017996753,0,0.5,0.5
40,0.017037333,hard,mid,33,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017037333,0,0.5,0.5
40,0.016433782,hard,mid,34,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016433782,0,0.5,0.5
40,0.016109881,hard,mid,35,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016109881,0,0.5,0.5
