,END,Phase,Block,TrialN,NbackLevel,ISI,Letter_Resp,Letter_RT,Letter_Accuracy,Trial_A_measure,Trial_ACC,Trial_RT,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OfflineRatingTimePoint,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,PID,Age,Gender,BAI_bis,BAI_bas_d,BAI_bas_rr,BAI_bas_fs,NFC,BFI_ext,BFI_agr,BFI_con,BFI_neu,BFI_open,UPPS_lps,UPPS_lpm,UPPS_pu,UPPS_ss,Task_A_measure,Task_ACC,Task_RT,Task_RT_z,Task_RT_log,Task_RT_log_z,cue_i_on_zyg_values,cue_i_on_zyg_zvalues,cue_e_on_zyg_values,cue_e_on_zyg_zvalues,cue_i_on_cor_values,cue_i_on_cor_zvalues,cue_e_on_cor_values,cue_e_on_cor_zvalues,cue_i_on_scr_values,cue_i_on_scr_zvalues,cue_e_on_scr_values,cue_e_on_scr_zvalues,cue_e_true_zyg_values,cue_e_true_zyg_zvalues,cue_e_true_cor_values,cue_e_true_cor_zvalues,cue_e_true_scr_values,cue_e_true_scr_zvalues,cue_e_false_zyg_values,cue_e_false_zyg_zvalues,cue_e_false_cor_values,cue_e_false_cor_zvalues,cue_e_false_scr_values,cue_e_false_scr_zvalues,OfflineRating_z,cue_i_off_zyg_values,cue_i_off_zyg_zvalues,cue_i_off_cor_values,cue_i_off_cor_zvalues,cue_i_off_scr_values,cue_i_off_scr_zvalues,DemandRating_z
0,240722_143902,PRACTICE,0.0,1,1.0,1472.0,,,,,,,,,,13.0,1.0,1.0,cue1.png,Easy,A,,,,,,,,,,,,,,,,,,,,,,,,,,,49,28,Female,0.14285714285714285,0.25,0.0,0.25,3.111111111111111,3.75,3.5555555555555554,3.2222222222222223,1.625,3.7777777777777777,2.0,2.25,3.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,240722_144217,LEARNING,1.0,1,1.0,1472.0,,,,,,,,,,1.0,1.0,1.0,cue1.png,Easy,A,,,,,,,,,,,,,,,,,,,,,,,,,,,49,28,Female,0.14285714285714285,0.25,0.0,0.25,3.111111111111111,3.75,3.5555555555555554,3.2222222222222223,1.625,3.7777777777777777,2.0,2.25,3.0,2.5,1.0,1.0,0.4595109000025938,1.8859333482280314,-0.7775926160257556,1.8068627258366432,,,,,,,,,1.2579999999999998,0.09649099131063828,,,,,,,,,,,,,,,,,,,,,,
1,240722_144236,LEARNING,1.0,2,3.0,1472.0,,,,,,,,,,2.0,2.0,2.0,cue2.png,Hard,A,,,,,,,,,,,,,,,,,,,,,,,,,,,49,28,Female,0.14285714285714285,0.25,0.0,0.25,3.111111111111111,3.75,3.5555555555555554,3.2222222222222223,1.625,3.7777777777777777,2.0,2.25,3.0,2.5,0.5,0.6666666666666667,0.3950490777561855,0.16747267884445516,-0.9287452743150807,0.21655958424495536,-0.0008634288218104507,-0.7258120504108367,0.00024800861253348235,0.09900216387635426,,,-0.00011804945861965295,-0.24523860272519296,1.1340000000000001,-0.09965463037000384,1.4629999999999999,-0.3784002196350591,,,,,,,,,,,,,,,,,,,,
2,240722_144256,LEARNING,1.0,3,1.0,1472.0,,,,,,,,,,3.0,3.0,3.0,cue1.png,Easy,A,,,,,,,,,,,,,,,,,,,,,,,,,,,49,28,Female,0.14285714285714285,0.25,0.0,0.25,3.111111111111111,3.75,3.5555555555555554,3.2222222222222223,1.625,3.7777777777777777,2.0,2.25,3.0,2.5,0.8194444444444444,0.8333333333333334,0.4069337000061447,0.4842998363046807,-0.8991050060568673,0.5284099497107816,-0.00012722659969090135,0.18510645161914802,,,,,0.0006040968763432039,1.0419989558684626,1.573,0.5947641431606582,1.117,-1.0461004469089277,,,,,,,,,,,,,,,,,,,,
3,240722_144316,LEARNING,1.0,4,3.0,1472.0,,,,,,,,,,4.0,4.0,4.0,cue2.png,Hard,A,,,,,,,,,,,,,,,,,,,,,,,,,,,49,28,Female,0.14285714285714285,0.25,0.0,0.25,3.111111111111111,3.75,3.5555555555555554,3.2222222222222223,1.625,3.7777777777777777,2.0,2.25,3.0,2.5,0.8194444444444444,0.8333333333333334,0.5173647000143925,3.4282335257598344,-0.6590072372739765,3.054519912353442,-0.0005334007195665564,-0.3174613344101605,0.00011515279774067678,-0.11543124190841504,0.0009332252906769107,1.4767802339170963,-0.00039028154643746225,-0.7304967161122455,1.5770000000000002,0.601091421279389,1.59,-0.13331950037557497,,,,,,,,,,,,,,,,,,,,
4,240722_144336,LEARNING,1.0,5,3.0,1472.0,,,,,,,,,,5.0,5.0,5.0,cue2.png,Hard,A,,,,,,,,,,,,,,,,,,,,,,,,,,,49,28,Female,0.14285714285714285,0.25,0.0,0.25,3.111111111111111,3.75,3.5555555555555554,3.2222222222222223,1.625,3.7777777777777777,2.0,2.25,3.0,2.5,0.5,0.6666666666666667,0.4259790777901394,0.9920225707045782,-0.8533650470875447,1.0096479330081338,-0.001868699330309552,-1.9696544054373364,0.00033234468565604804,0.235123201697609,-0.0004263068674814213,-0.6000263201331355,-0.00017977296572277597,-0.3552617555746066,,,1.575,-0.16226604202039613,,,,,,,,,,,,,,,,,,,,
5,240722_144356,LEARNING,1.0,6,1.0,1472.0,,,,,,,,,,6.0,6.0,6.0,cue1.png,Easy,A,,,,,,,,,,,,,,,,,,,,,,,,,,,49,28,Female,0.14285714285714285,0.25,0.0,0.25,3.111111111111111,3.75,3.5555555555555554,3.2222222222222223,1.625,3.7777777777777777,2.0,2.25,3.0,2.5,1.0,1.0,0.4258069111060144,0.9874328513181782,-0.8537692957807939,1.0053947629075595,0.00013608816122494738,0.5109113464825308,9.545802813384473e-05,-0.1472192109147069,0.00047578044857154826,0.7779924630652283,,,0.1100000000000001,-1.7194378287649883,,,,,,,,,,,,,,,,,,,,,,
6,240722_144416,LEARNING,1.0,7,3.0,1472.0,,,,,,,,,,7.0,7.0,7.0,cue2.png,Hard,A,,,,,,,,,,,,,,,,,,,,,,,,,,,49,28,Female,0.14285714285714285,0.25,0.0,0.25,3.111111111111111,3.75,3.5555555555555554,3.2222222222222223,1.625,3.7777777777777777,2.0,2.25,3.0,2.5,0.8194444444444444,0.8333333333333334,0.4441405444328363,1.4761814889010827,-0.8116142251232109,1.4489155190721783,,,7.023186892897004e-05,-0.1879350142960356,0.00013700698053445252,0.26048579392483623,0.00041102601260552957,0.6978470087620149,,,1.4659999999999997,-0.37261091130609514,,,,,,,,,,,,,,,,,,,,
7,240722_144435,LEARNING,1.0,8,3.0,1472.0,,,,,,,,,,8.0,8.0,8.0,cue2.png,Hard,A,,,,,,,,,,,,,,,,,,,,,,,,,,,49,28,Female,0.14285714285714285,0.25,0.0,0.25,3.111111111111111,3.75,3.5555555555555554,3.2222222222222223,1.625,3.7777777777777777,2.0,2.25,3.0,2.5,0.8194444444444444,0.8333333333333334,0.3660044777724478,-0.606815124240618,-1.0051097113046594,-0.5868838048746141,,,0.00012022000807017288,-0.10725260726998255,0.000349412836077043,0.5849546711502654,-7.259176014367055e-06,-0.0477531264552558,,,1.959,0.5787654240870194,,,,,,,,,,,,,,,,,,,,
8,240722_144455,LEARNING,1.0,9,1.0,1472.0,,,,,,,,,,9.0,9.0,9.0,cue1.png,Easy,A,,,,,,,,,,,,,,,,,,,,,,,,,,,49,28,Female,0.14285714285714285,0.25,0.0,0.25,3.111111111111111,3.75,3.5555555555555554,3.2222222222222223,1.625,3.7777777777777777,2.0,2.25,3.0,2.5,1.0,1.0,0.4198513333426995,0.8286656028437169,-0.8678545985979327,0.8572008669226809,,,1.8989283099551686e-05,-0.27064213718528957,-0.0004514548574442879,-0.6384421163779407,-6.944371402420497e-05,-0.1585980743759224,,,0.9349999999999998,-1.3973184855327552,,,,,,,,,,,,,,,,,,,,
