,END,Phase,Block,TrialN,NbackLevel,ISI,Letter_Resp,Letter_RT,Letter_Accuracy,Trial_A_measure,Trial_ACC,Trial_RT,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OfflineRatingTimePoint,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,PID,Age,Gender,BAI_bis,BAI_bas_d,BAI_bas_rr,BAI_bas_fs,NFC,BFI_ext,BFI_agr,BFI_con,BFI_neu,BFI_open,UPPS_lps,UPPS_lpm,UPPS_pu,UPPS_ss,Task_A_measure,Task_ACC,Task_RT,Task_RT_z,cue_i_on_zyg_values,cue_i_on_zyg_zvalues,cue_e_on_zyg_values,cue_e_on_zyg_zvalues,cue_i_on_cor_values,cue_i_on_cor_zvalues,cue_e_on_cor_values,cue_e_on_cor_zvalues,cue_i_on_scr_values,cue_i_on_scr_zvalues,cue_e_on_scr_values,cue_e_on_scr_zvalues,cue_e_true_zyg_values,cue_e_true_zyg_zvalues,cue_e_true_cor_values,cue_e_true_cor_zvalues,cue_e_true_scr_values,cue_e_true_scr_zvalues,cue_e_false_zyg_values,cue_e_false_zyg_zvalues,cue_e_false_cor_values,cue_e_false_cor_zvalues,cue_e_false_scr_values,cue_e_false_scr_zvalues,OfflineRating_z,cue_i_off_zyg_values,cue_i_off_zyg_zvalues,cue_i_off_cor_values,cue_i_off_cor_zvalues,cue_i_off_scr_values,cue_i_off_scr_zvalues,DemandRating_z
0,240627_091641,PRACTICE,0.0,1,3.0,1068.0,,,,,,,,,,7.0,1.0,1.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,Female,1.1428571428571428,0.5,0.4,0.5,3.2777777777777777,3.25,2.2222222222222223,2.6666666666666665,1.5,3.4444444444444446,2.0,1.75,2.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,240627_091931,LEARNING,1.0,1,1.0,1068.0,,,,,,,,,,1.0,1.0,1.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,Female,1.1428571428571428,0.5,0.4,0.5,3.2777777777777777,3.25,2.2222222222222223,2.6666666666666665,1.5,3.4444444444444446,2.0,1.75,2.0,0.75,0.1875,0.6590909090909091,0.4629948699846863,-0.5450772948637685,0.008478426444352323,-0.24285927827393558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,240627_091955,LEARNING,1.0,2,3.0,1068.0,,,,,,,,,,2.0,2.0,2.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,Female,1.1428571428571428,0.5,0.4,0.5,3.2777777777777777,3.25,2.2222222222222223,2.6666666666666665,1.5,3.4444444444444446,2.0,1.75,2.0,0.75,0.7083333333333334,0.7840909090909091,0.5113670500228181,0.22283463783064705,0.008824612276281073,-0.007410455548908248,,,,,,,9.332421392357883e+43,-0.17668582757411672,4.2806028822464676e+44,-0.17375057707129607,,,,,,,,,,,,,,,,,,,,
2,240627_092017,LEARNING,1.0,3,1.0,1068.0,,,,,,,,,,3.0,3.0,3.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,Female,1.1428571428571428,0.5,0.4,0.5,3.2777777777777777,3.25,2.2222222222222223,2.6666666666666665,1.5,3.4444444444444446,2.0,1.75,2.0,0.75,1.0,1.0,0.5097405182155357,0.19701332519320558,0.010390948158156665,1.0578900431019949,0.008118249428216356,-0.40769537111369003,,,,,-4.453587032514614e+44,-0.17716085177854551,-2.820854611480496e+44,-0.17429374780320445,,,,,,,,,,,,,,,,,,,,
3,240627_092040,LEARNING,1.0,4,3.0,1068.0,,,,,,,,,,4.0,4.0,4.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,Female,1.1428571428571428,0.5,0.4,0.5,3.2777777777777777,3.25,2.2222222222222223,2.6666666666666665,1.5,3.4444444444444446,2.0,1.75,2.0,0.75,0.84375,0.875,0.5443991453767839,0.7472215925681482,0.008754816202003978,-0.05488034600575649,0.007631115350406021,-0.6873602339334446,0.01619194382379663,-1.9930148984890825,,,-4.525433707395181e+44,-0.17716718739983364,-3.374533470482471e+44,-0.17433609715914328,,,,,,,,,,,,,,,,,,,,
4,240627_092103,LEARNING,1.0,5,3.0,1068.0,,,,,,,,,,5.0,5.0,5.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,Female,1.1428571428571428,0.5,0.4,0.5,3.2777777777777777,3.25,2.2222222222222223,2.6666666666666665,1.5,3.4444444444444446,2.0,1.75,2.0,0.75,0.5833333333333334,0.75,0.5695154818240553,1.145945289706117,0.011319732671345412,1.6895774203038891,0.011812896105787172,1.7134103024922616,,,0.01914453973810312,-1.4001255167836764,6.615394897230568e+48,5.656854213491802,7.738077969245353e+48,5.744562625551781,,,,,,,,,,,,,,,,,,,,
5,240627_092124,LEARNING,1.0,6,1.0,1068.0,,,,,,,,,,6.0,6.0,6.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,Female,1.1428571428571428,0.5,0.4,0.5,3.2777777777777777,3.25,2.2222222222222223,2.6666666666666665,1.5,3.4444444444444446,2.0,1.75,2.0,0.75,1.0,1.0,0.4263722454197705,-1.1264641661566719,0.009328863134382442,0.33554197042584205,0.008938525484928623,0.06322711475699233,,,0.02830331223695015,-0.7053362705153233,,,-4.973481813166104e+43,-0.17411602925889424,,,,,,,,,,,,,,,,,,,,
6,240627_092146,LEARNING,1.0,7,3.0,1068.0,,,,,,,,,,7.0,7.0,7.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,Female,1.1428571428571428,0.5,0.4,0.5,3.2777777777777777,3.25,2.2222222222222223,2.6666666666666665,1.5,3.4444444444444446,2.0,1.75,2.0,0.75,0.5833333333333334,0.75,0.468424281803891,-0.4588849810132719,0.00965062701128123,0.5543808685666887,0.012544121636448292,2.1332086640477947,0.017404872513298492,-1.8537406225824462,0.019773899507411208,-1.3523819572832916,,,,,,,,,,,,,,,,,,,,,,,,
7,240627_092209,LEARNING,1.0,8,3.0,1068.0,,,,,,,,,,8.0,8.0,8.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,Female,1.1428571428571428,0.5,0.4,0.5,3.2777777777777777,3.25,2.2222222222222223,2.6666666666666665,1.5,3.4444444444444446,2.0,1.75,2.0,0.75,0.84375,0.875,0.5583014272534373,0.9679213447055918,0.009360461856001517,0.35703297646550614,0.010258763488342969,0.8211789742819113,0.020914548098814403,-1.450742878303946,0.017105446003402275,-1.5548122282596595,,,,,,,,,,,,,,,,,,,,,,,,
8,240627_092230,LEARNING,1.0,9,1.0,1068.0,,,,,,,,,,9.0,9.0,9.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,Female,1.1428571428571428,0.5,0.4,0.5,3.2777777777777777,3.25,2.2222222222222223,2.6666666666666665,1.5,3.4444444444444446,2.0,1.75,2.0,0.75,1.0,1.0,0.4033851909493519,-1.4913853545632278,0.008651417799734709,-0.12520394056279424,,,0.020216270931094273,-1.5309224039084548,,,,,,,,,,,,,,,,,,,,,,,,,,
