"","PID","Gender","Age","CueMapping","Phase","Block","TrialN","NbackLevel","ISI","ISI_calibrated","CaliEnd_A_measure","Task_A_measure","Task_ACC","Task_RT","Task_RT_log","Task_RT_log_z","CueLearning","TrialDemandLearning","cue_i_on_zyg_values","cue_i_on_zyg_zvalues","cue_e_on_zyg_values","cue_e_on_zyg_zvalues","cue_i_on_cor_values","cue_i_on_cor_zvalues","cue_e_on_cor_values","cue_e_on_cor_zvalues","cue_i_on_scr_values","cue_i_on_scr_zvalues","cue_e_on_scr_values","cue_e_on_scr_zvalues","PhaseType","Choice","ChoiceDemand","TaskDemand","ChoiceRT","cue_e_true_zyg_values","cue_e_true_zyg_zvalues","cue_e_true_cor_values","cue_e_true_cor_zvalues","cue_e_true_scr_values","cue_e_true_scr_zvalues","cue_e_false_zyg_values","cue_e_false_zyg_zvalues","cue_e_false_cor_values","cue_e_false_cor_zvalues","cue_e_false_scr_values","cue_e_false_scr_zvalues","OfflineRatingTimePoint","TrialDemand","OfflineRating","OfflineRating_z","OfflineRatingRT","cue_i_off_zyg_values","cue_i_off_zyg_zvalues","cue_i_off_cor_values","cue_i_off_cor_zvalues","cue_i_off_scr_values","cue_i_off_scr_zvalues","CueCheck","CueDemandCheck","CorrectAnswer","Answer","AnswerDemand","AnswerRT","AnswerACC","DemandRatingQuesIndex","QuesTLX","DemandLevel","DemandRating","DemandRating_z","DemandRatingRT","BAI_bis","BAI_bas_d","BAI_bas_rr","BAI_bas_fs","NFC","BFI_ext","BFI_agr","BFI_con","BFI_neu","BFI_open","UPPS_lps","UPPS_lpm","UPPS_pu","UPPS_ss"
"007.1",7,"Female",20,"A","PRACTICE",0,1,1,1750,,,,,,,,"cue1.png","Easy",,,,,,,,,,,,,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.2",7,"Female",20,"A","LEARNING",1,1,1,1750,,,1,1,0.433099775051232,-0.836787150153904,-0.749959379754836,"cue1.png","Easy",4.89687127352197e-05,0.096037052829883,0.000167146426834415,-0.244134193903824,0.000579648779563127,1.45504965699542,,,,,,,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.3",7,"Female",20,"A","LEARNING",1,2,3,1750,,,1,1,0.852188574965112,-0.159947444524485,2.94012281800559,"cue2.png","Hard",0.000216904533023038,0.283855277199724,0.000951705796796061,0.570754853838501,5.5165160879893e-06,0.00534437584189516,,,1.437,-0.255584866607897,1.134,-0.623506685645717,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.4",7,"Female",20,"A","LEARNING",1,3,1,1750,,,1,0.875,0.532008114204343,-0.631096537493005,0.371451290620336,"cue1.png","Easy",0.00106590304397775,1.2333691602228,,,0.00017746328805384,0.439516358944512,0.00202265873870663,3.98015223032949,1.953,0.656582809933808,1.603,0.187525014273248,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.5",7,"Female",20,"A","LEARNING",1,4,3,1750,,,0.75,0.833333333333333,0.48416868748609,-0.725321905123411,-0.142258748519663,"cue2.png","Hard",,,0.000167527354803011,-0.243738539933618,-0.00134144114706585,-3.39577373228352,0.000173378787023361,-0.13313292455474,1.577,-0.00809751250743466,1.585,0.156397998071668,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.6",7,"Female",20,"A","LEARNING",1,5,3,1750,,,1,1,0.460531375021674,-0.775374293095912,-0.415140827210608,"cue2.png","Hard",5.68259502519547e-05,0.104824531262513,0.00029733955847123,-0.108908026039305,,,0.000557816125751679,0.721956861572582,1.563,-0.0328462479174809,,,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.7",7,"Female",20,"A","LEARNING",1,6,1,1750,,,1,1,0.352339000091888,-1.04316149839406,-1.87509772814297,"cue1.png","Easy",-0.000236501517425364,-0.223230817760914,0.00019367361632468,-0.216581510180145,5.76623950711199e-06,0.0059749367466919,0.000244215911418543,0.0244274772244354,,,0.113,-2.38910021574649,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.8",7,"Female",20,"A","LEARNING",1,7,3,1750,,,0.75,0.833333333333333,0.549511762510519,-0.598725099524943,0.547938080577149,"cue2.png","Hard",-4.33563217073123e-05,-0.00721860760135707,0.000164559984429505,-0.246820623598088,-5.39150869706935e-05,-0.144722628405678,,,1.443,-0.244978265717877,1.201,-0.507645014228722,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.9",7,"Female",20,"A","LEARNING",1,8,3,1750,,,0.75,0.833333333333333,0.603178224992007,-0.505542562091163,1.05596268325139,"cue2.png","Hard",1.51471373703977e-05,0.0582112440207519,0.000194227055837878,-0.216006675674103,,,,,,,,,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.10",7,"Female",20,"A","LEARNING",1,9,1,1750,,,1,1,0.399658687529154,-0.917144377302874,-1.18806129797498,"cue1.png","Easy",,,-0.00140657858493567,-1.87869663155885,,,-6.57476541533544e-05,-0.665013043482751,,,,,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.11",7,"Female",20,"A","LEARNING",1,10,1,1750,,,1,1,0.562522375083063,-0.575324367769238,0.675517214821343,"cue1.png","Easy",0.00113183867899963,1.3071111044446,0.000112873449741084,-0.300505268311983,,,0.00054186626294865,0.686480170317467,1.454,-0.225532830752841,1.53,0.0612876707890598,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.12",7,"Female",20,"A","LEARNING",1,11,3,1750,,,0.75,0.833333333333333,0.540110787551384,-0.615980998334496,0.453860140890866,"cue2.png","Hard",6.78203726182098e-05,0.117120614869114,-6.94473879115443e-05,-0.489874307121112,0.000129304418027553,0.317913424127876,0.000112436887978143,-0.268683741739007,2.306,1.28060449562997,,,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.13",7,"Female",20,"A","LEARNING",1,12,1,1750,,,1,1,0.399273324990645,-0.918109071575619,-1.1933207429108,"cue1.png","Easy",-6.4477198355018e-05,-0.0308400454953563,-0.000212968848416091,-0.638944053476771,,,0.00011788265046438,-0.256570933198973,,,,,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.14",7,"Female",20,"A","LEARNING",1,13,1,1750,,,1,1,0.416256175027229,-0.87645440289727,-0.966222435785565,"cue1.png","Easy",3.73839145969873e-05,0.0830806971680786,0.00118412685372729,0.812160897803302,0.000131319632846622,0.323001916365152,0.000292251274244875,0.131270762170657,,,,,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
"007.15",7,"Female",20,"A","LEARNING",1,14,1,1750,,,1,1,0.435510375013109,-0.831236659751513,-0.719698498703748,"cue1.png","Easy",-4.3480928627956e-05,-0.00735796709321169,0.000121489479436554,-0.291556158145591,0.000147116336200342,0.362889178819433,-0.000134013176203099,-0.816853525061567,2.928,2.38015545456203,,,"","","","",,,,,,,,,,,,,,"","",,,,,,,,,,"","","","","",,,,"",,,,,1,1.25,0.8,0.75,2.94444444444444,2.75,2.66666666666667,2.11111111111111,1.875,3,2,2.75,2.25,1.25
