block,trialID,cueLearning,trialDemandLearning,nBackLevelLearning,choiceType,choiceTrueID,choiceFalseID,cueLeft,cueDemandLeft,nBackLevelLeft,cueRight,cueDemandRight,nBackLevelRight,cueDemandMid,nBackLevelMid,offlineRatingID,offlineRatingCue,offlineRatingCueDemand,offlineRatingnBackLevel,checkID,cueCheck,trialDemandCheck,correctAnswer
1,1,cue1.png,Easy,1,TRUE,1,NA,cue1.png,Easy,1,cue2.png,Hard,3,NA,NA,1,cue1.png,Easy,1,1,cue1.png,Easy,Left
1,2,cue2.png,Hard,3,TRUE,2,NA,cue1.png,Easy,1,cue2.png,Hard,3,NA,NA,2,cue2.png,Hard,3,2,cue2.png,Hard,Right
1,3,cue1.png,Easy,1,TRUE,3,NA,cue2.png,Hard,3,cue1.png,Easy,1,NA,NA,,,,,,,,
1,4,cue2.png,Hard,3,TRUE,4,NA,cue1.png,Easy,1,cue2.png,Hard,3,NA,NA,,,,,,,,
1,5,cue2.png,Hard,3,TRUE,5,NA,cue2.png,Hard,3,cue1.png,Easy,1,NA,NA,,,,,,,,
1,6,cue1.png,Easy,1,TRUE,6,NA,cue2.png,Hard,3,cue1.png,Easy,1,NA,NA,,,,,,,,
1,7,cue2.png,Hard,3,TRUE,7,NA,cue1.png,Easy,1,cue2.png,Hard,3,NA,NA,,,,,,,,
1,8,cue2.png,Hard,3,TRUE,8,NA,cue2.png,Hard,3,cue1.png,Easy,1,NA,NA,,,,,,,,
1,9,cue1.png,Easy,1,TRUE,9,NA,cue1.png,Easy,1,cue2.png,Hard,3,NA,NA,,,,,,,,
1,10,cue1.png,Easy,1,TRUE,10,NA,cue2.png,Hard,3,cue1.png,Easy,1,NA,NA,,,,,,,,
1,11,cue2.png,Hard,3,FALSE,NA,1,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,12,cue1.png,Easy,1,FALSE,NA,2,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,13,cue1.png,Easy,1,FALSE,NA,3,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,14,cue1.png,Easy,1,FALSE,NA,4,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,15,cue2.png,Hard,3,FALSE,NA,5,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,16,cue1.png,Easy,1,FALSE,NA,6,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,17,cue1.png,Easy,1,FALSE,NA,7,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,18,cue2.png,Hard,3,FALSE,NA,8,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,19,cue2.png,Hard,3,FALSE,NA,9,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,20,cue2.png,Hard,3,FALSE,NA,10,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,21,cue1.png,Easy,1,FALSE,NA,11,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,22,cue2.png,Hard,3,FALSE,NA,12,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,23,cue2.png,Hard,3,FALSE,NA,13,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,24,cue2.png,Hard,3,FALSE,NA,14,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,25,cue1.png,Easy,1,FALSE,NA,15,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,26,cue1.png,Easy,1,FALSE,NA,16,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,27,cue2.png,Hard,3,FALSE,NA,17,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,28,cue1.png,Easy,1,FALSE,NA,18,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,29,cue1.png,Easy,1,FALSE,NA,19,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,30,cue2.png,Hard,3,FALSE,NA,20,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,31,cue2.png,Hard,3,FALSE,NA,21,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,32,cue1.png,Easy,1,FALSE,NA,22,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,33,cue1.png,Easy,1,FALSE,NA,23,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,34,cue1.png,Easy,1,FALSE,NA,24,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,35,cue2.png,Hard,3,FALSE,NA,25,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,36,cue2.png,Hard,3,FALSE,NA,26,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,37,cue1.png,Easy,1,FALSE,NA,27,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,38,cue2.png,Hard,3,FALSE,NA,28,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,39,cue2.png,Hard,3,FALSE,NA,29,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,40,cue2.png,Hard,3,FALSE,NA,30,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,41,cue1.png,Easy,1,FALSE,NA,31,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,42,cue2.png,Hard,3,FALSE,NA,32,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,43,cue2.png,Hard,3,FALSE,NA,33,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,44,cue1.png,Easy,1,FALSE,NA,34,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,45,cue1.png,Easy,1,FALSE,NA,35,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,46,cue1.png,Easy,1,FALSE,NA,36,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,47,cue2.png,Hard,3,FALSE,NA,37,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
1,48,cue2.png,Hard,3,FALSE,NA,38,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,49,cue1.png,Easy,1,FALSE,NA,39,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
1,50,cue1.png,Easy,1,FALSE,NA,40,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
2,1,cue1.png,Easy,1,FALSE,NA,41,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
2,2,cue2.png,Hard,3,FALSE,NA,42,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
2,3,cue2.png,Hard,3,FALSE,NA,43,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
2,4,cue2.png,Hard,3,FALSE,NA,44,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
2,5,cue1.png,Easy,1,FALSE,NA,45,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
2,6,cue2.png,Hard,3,FALSE,NA,46,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
2,7,cue2.png,Hard,3,FALSE,NA,47,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
2,8,cue1.png,Easy,1,FALSE,NA,48,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
2,9,cue1.png,Easy,1,FALSE,NA,49,cue2.png,Hard,3,cue1.png,Easy,1,Mid,2,,,,,,,,
2,10,cue2.png,Hard,3,FALSE,NA,50,cue1.png,Easy,1,cue2.png,Hard,3,Mid,2,,,,,,,,
2,11,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,12,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,13,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,14,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,15,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,16,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,17,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,18,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,19,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,20,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,21,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,22,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,23,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,24,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,25,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,26,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,27,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,28,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,29,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,30,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,31,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,32,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,33,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,34,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,35,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,36,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,37,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,38,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,39,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,40,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,41,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,42,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,43,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,44,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,45,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,46,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,47,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,48,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
2,49,cue2.png,Hard,3,FALSE,,,,,,,,,,,,,,,,,,
2,50,cue1.png,Easy,1,FALSE,,,,,,,,,,,,,,,,,,
