Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,Run,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,CueSTART,OfflineRatingTimePoint,OfflineRatingQuesIndex,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,CueStart,OfflineRatingStart,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,ChoiceTimeOut,ChoiceSTART,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,AnswerTimeOut,CheckSTART,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,QuesStart,PID,SONA,Age,Gender,Run,TIME,EXPERIMENTER,frameRate,
-1,.\instructions\inst_begin\Slide1.png,left,5.9218780000228435,0.13501209998503327,6.056890100007877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
0,.\instructions\inst_begin\Slide3.png,right,8.661162900039926,6.091682999860495,14.752845899900422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
1,.\instructions\inst_begin\Slide1.png,right,6.081148700090125,14.783712399890646,20.86486109998077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
0,.\instructions\inst_begin\Slide2.png,left,10.415971900103614,20.888887699926272,31.304859600029886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
-1,.\instructions\inst_begin\Slide1.png,left,3.2813210000749677,31.335549999959767,34.616871000034735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
0,.\instructions\inst_begin\Slide3.png,right,4.601344899972901,34.64757729996927,39.24892219994217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
1,.\instructions\inst_begin\Slide1.png,right,2.272995000006631,39.27991529996507,41.5529102999717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
2,.\instructions\inst_begin\Slide2.png,right,3.143970600096509,41.57696929993108,44.72093990002759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
3,.\instructions\inst_begin\Slide3.png,right,2.9774205000139773,44.75152039993554,47.72894089994952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
1,.\instructions\inst_prac_2\Slide1.png,right,12.099450399866328,47.77360139996745,59.873051799833775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
2,.\instructions\inst_prac_2\Slide2.png,right,20.695207700133324,59.905923599842936,80.60113129997626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
3,.\instructions\inst_prac_2\Slide3.png,right,13.384476499864832,80.63261279999278,94.01708929985762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
4,.\instructions\inst_prac_2\Slide4.png,right,9.633332500001416,94.04781869985163,103.68115119985305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,999,Female,1,2024/04/26_13:24:16,YZ,60.05046640475824,
