Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,Run,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,CueSTART,OfflineRatingTimePoint,OfflineRatingQuesIndex,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,CueStart,OfflineRatingStart,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,ChoiceTimeOut,ChoiceSTART,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,AnswerTimeOut,CheckSTART,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,QuesStart,PID,Age,Gender,Run,TIME,EXPERIMENTER,frameRate,
1,.\instructions\inst_begin\Slide1.png,right,2.848789499999839,0.156262999997125,3.005052499996964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
2,.\instructions\inst_begin\Slide2.png,right,2.4730724999972153,3.0336409000010462,5.506713399998262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
3,.\instructions\inst_begin\Slide3.png,right,1.1016831000015372,5.53911589999916,6.640799000000698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
1,.\instructions\inst_prac_2\Slide1.png,right,2.373701499993331,6.6854028000016115,9.059104299994942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
2,.\instructions\inst_prac_2\Slide2.png,right,0.7211327999975765,9.09151109999948,9.812643899997056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
3,.\instructions\inst_prac_2\Slide3.png,right,0.5607299999974202,9.84394749999774,10.40467749999516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
4,.\instructions\inst_prac_2\Slide4.png,right,0.45759389999875566,10.435119199995825,10.89271309999458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
5,.\instructions\inst_prac_2\Slide5.png,right,0.6373642999969888,10.923397799997474,11.560762099994463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
6,.\instructions\inst_prac_2\Slide6.png,right,0.4375094999995781,11.591224799994961,12.02873429999454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
7,.\instructions\inst_prac_2\Slide7.png,right,0.5354630999936489,12.059307700001227,12.594770799994876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
8,.\instructions\inst_prac_2\Slide8.png,right,0.5393524000028265,12.625346399996488,13.164698799999314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
9,.\instructions\inst_prac_2\Slide9.png,right,2.1502313000019058,13.196371199999703,15.346602500001609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
10,.\instructions\inst_prac_2\Slide10.png,right,1.653724499999953,15.377400400000624,17.031124900000577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,12,2,2583,1,C,0,right,1.195871799995075,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,12,2,2583,2,J,0,right,0.11665240000002086,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,12,2,2583,3,C,1,left,0.6911251999990782,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,12,2,2583,4,N,0,right,0.4109392999962438,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,12,2,2583,5,C,1,left,0.41155670000443934,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,12,2,2583,6,X,0,right,0.7649767999973847,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,12,2,2583,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,0.5985203666653737,2,0,0,0,0,4,6,2,4,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
1,.\instructions\inst_to_cali\Slide1.png,right,1.0402552000014111,26.364498899994942,27.404754099996353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
1,.\instructions\inst_cali\Slide1.png,right,2.4541822000028333,27.45219929999439,29.906381499997224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,1,F,0,right,0.4674126999962027,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,2,V,0,right,0.3940950999967754,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,3,S,0,right,0.38135160000092583,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,4,N,0,right,0.4857158000013442,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,5,V,0,right,0.4974307000011322,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,6,N,1,left,0.5442221999983303,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,7,Q,0,right,0.47631080000428483,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,8,N,1,right,0.9379819000023417,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,9,S,0,right,0.379104699997697,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,10,N,1,left,0.7184300000008079,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,11,C,0,right,0.4279674000063096,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,12,S,0,right,0.7045868000059272,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,13,C,1,right,0.5624669999961043,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,14,Q,0,right,0.5962085999999545,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
