TriggerName,Code,Binary
expStart,1,1
expEnd,2,10
instructions,3,11
prac2BackStart,4,100
caliStart,5,101
prac1BackStart,6,110
prac3BackStart,7,111
pracMainStart,8,1000
testStart,16,10000
trialStart_N1,20,10100
trialStart_N2,21,10101
trialStart_N3,22,10110
trialEnd_N1,24,11000
trialEnd_N2,25,11001
trialEnd_N3,26,11010
fixaCue,240,11110000
cueEasy,242,11110010
cueHard,243,11110011
fixaLetter,128,10000000
letterSame,130,10000010
letterDiff,131,10000011
respLetterCorrect,135,10000111
respLetterError,134,10000110
respLetterTimeout,132,10000100
fixaProbChoice,160,10100000
probChoiceTrue,164,10100100
probChoiceFalse,168,10101000
respChoiceTrueEasy,167,10100111
respChoiceTrueHard,166,10100110
respChoiceFalseEasy,239,11101111
respChoiceFalseHard,238,11101110
respChoiceTimeout,236,11101100
fixaCueOffline,192,11000000
cueEasyOfflineRatingT0,194,11000010
cueHardOfflineRatingT0,195,11000011
cueEasyOfflineRatingT1,196,11000100
cueHardOfflineRatingT1,197,11000101
cueEasyOfflineRatingT2,198,11000110
cueHardOfflineRatingT2,199,11000111
cueEasyOfflineRatingT3,200,11001000
cueHardOfflineRatingT3,201,11001001
probEasyOfflineRatingT0,210,11010010
probEasyOfflineRatingT1,211,11010011
probEasyOfflineRatingT2,212,11010100
probEasyOfflineRatingT3,213,11010101
probHardOfflineRatingT0,214,11010110
probHardOfflineRatingT1,215,11010111
probHardOfflineRatingT2,216,11011000
probHardOfflineRatingT3,217,11011001
respEasyOfflineRatingT0,226,11100010
respEasyOfflineRatingT1,227,11100011
respEasyOfflineRatingT2,228,11100100
respEasyOfflineRatingT3,229,11100101
respHardOfflineRatingT0,230,11100110
respHardOfflineRatingT1,231,11100111
respHardOfflineRatingT2,232,11101000
respHardOfflineRatingT3,233,11101001
fixaLearningCheckT1,49,110001
fixaLearningCheckT2,50,110010
probLearningCheckT1,52,110100
probLearningCheckT2,53,110101
respLearningCheckT1,56,111000
respLearningCheckT2,57,111001
probTLX_MentalDemand_N1,96,1100000
probTLX_MentalDemand_N2,97,1100001
probTLX_MentalDemand_N3,98,1100010
probTLX_Effort_N1,100,1100100
probTLX_Effort_N2,101,1100101
probTLX_Effort_N3,102,1100110
probTLX_Frustration_N1,104,1101000
probTLX_Frustration_N2,105,1101001
probTLX_Frustration_N3,106,1101010
respTLX_MentalDemand_N1,112,1110000
respTLX_MentalDemand_N2,113,1110001
respTLX_MentalDemand_N3,114,1110010
respTLX_Effort_N1,116,1110100
respTLX_Effort_N2,117,1110101
respTLX_Effort_N3,118,1110110
respTLX_Frustration_N1,120,1111000
respTLX_Frustration_N2,121,1111001
respTLX_Frustration_N3,122,1111010
